id,followers,genres,name,popularity,img_url_640,img_url_320,img_url_160
7aADBYuRxT4V57iwqzUiPP,2522.0,[],Beneath My Shade,32,https://i.scdn.co/image/ab6761610000e5eb7bc33b6b0c25dffcb13fe50f,https://i.scdn.co/image/ab676161000051747bc33b6b0c25dffcb13fe50f,https://i.scdn.co/image/ab6761610000f1787bc33b6b0c25dffcb13fe50f
56n1NeXsTOOxjX3Z4lVMTJ,657638.0,"['rap underground espanol', 'spanish hip hop']",SFDK,63,https://i.scdn.co/image/ab6761610000e5eb3ab473e158510f75261428bf,https://i.scdn.co/image/ab676161000051743ab473e158510f75261428bf,https://i.scdn.co/image/ab6761610000f1783ab473e158510f75261428bf
2cScEQkwCAObAfeFX4CYr4,52581.0,['australian reggae fusion'],Bootleg Rascal,47,https://i.scdn.co/image/ab6761610000e5eb7f09aad897703190d175ea3f,https://i.scdn.co/image/ab676161000051747f09aad897703190d175ea3f,https://i.scdn.co/image/ab6761610000f1787f09aad897703190d175ea3f
6vCv1v9LdUOBkbj3Rat9Y2,525.0,[],Richard Kapp,36,https://i.scdn.co/image/00cce5126336f1a889d7759d81a48a63976eb5e0,,
35SiCc05xPtJ3pNktVQlTX,1.0,[],Wilhelm Felden,1,https://i.scdn.co/image/ab67616d0000b273a1061699c86665cf1f7e46b2,,
0AuW7OCyKfFrsMbtHrYgIV,638812.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'rap rock', 'west coast rap']",House Of Pain,63,,,
46njgd2Rq9tZc4ZjeQMgbh,792092.0,"['adult standards', 'album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",Boz Scaggs,62,https://i.scdn.co/image/ab6761610000e5eb143feea39a3275bfc4ea5f11,https://i.scdn.co/image/ab67616100005174143feea39a3275bfc4ea5f11,https://i.scdn.co/image/ab6761610000f178143feea39a3275bfc4ea5f11
5CLf8odArXTU5aFNBW7Xjp,323.0,[],Shannon Bolin,7,https://i.scdn.co/image/ab67616d0000b273ba5d2808defce76bab4f8422,,
0ZozT0PmDRv9HuH3x5MxOa,487.0,['classic icelandic pop'],Sextett Ólafs Gauks,14,https://i.scdn.co/image/ab67616d0000b2732d63bbcf2ba5559b84ae05e8,,
6jStlKLflTMUN6BajxrNlj,843718.0,"['chanson', 'french indie pop', 'french pop', 'french rock']",Julien Doré,65,https://i.scdn.co/image/ab6761610000e5ebe0de1031da13ff4c04a410fc,https://i.scdn.co/image/ab67616100005174e0de1031da13ff4c04a410fc,https://i.scdn.co/image/ab6761610000f178e0de1031da13ff4c04a410fc
5icZHFQjI6SRsvXNOKUXZ1,58005.0,"['carnaval limburg', 'dutch pop', 'dutch rock', 'nederpop', 'streektaal']",Rowwen Hèze,50,https://i.scdn.co/image/ab6761610000e5eb529465c35ca2f04f768b4afe,https://i.scdn.co/image/ab67616100005174529465c35ca2f04f768b4afe,https://i.scdn.co/image/ab6761610000f178529465c35ca2f04f768b4afe
62xdwGEOLoGQxKUqoJusyU,25540.0,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz trumpet', 'soul jazz']",Clark Terry,41,,,
1HoWbJFK5RdH4OAtpoxbgR,53757.0,"['dutch cabaret', 'dutch pop', 'dutch rock', 'nederpop']",Frank Boeijen Groep,49,https://i.scdn.co/image/ab67616d0000b27336e6cb9b7dea541a6b66aa13,,
0UsbPF0Mx5Y6mWwMEWihWN,17775.0,"['israeli indie', 'israeli rock']",Habiluim,36,https://i.scdn.co/image/ab6761610000e5eb7abcccf6d0b1f542858c8082,https://i.scdn.co/image/ab676161000051747abcccf6d0b1f542858c8082,https://i.scdn.co/image/ab6761610000f1787abcccf6d0b1f542858c8082
6rXycobs8wkWicUGLtmB0n,61941.0,['quiet storm'],Frankie Beverly,56,,,
1tP3R35TdPW8BMwmTPOoVZ,72332.0,"['bossa nova', 'brazilian jazz', 'jazz funk', 'psicodelia brasileira']",Arthur Verocai,51,https://i.scdn.co/image/ab6761610000e5eb9c2fe0b775463713725fc7a8,https://i.scdn.co/image/ab676161000051749c2fe0b775463713725fc7a8,https://i.scdn.co/image/ab6761610000f1789c2fe0b775463713725fc7a8
0mkH5jj3goQ51JtPKVodTo,759614.0,['turkish pop'],Mustafa Sandal,62,https://i.scdn.co/image/ab6761610000e5eb0067ba07290591918d4fbd06,https://i.scdn.co/image/ab676161000051740067ba07290591918d4fbd06,https://i.scdn.co/image/ab6761610000f1780067ba07290591918d4fbd06
5JR66qf3SCSm4IRgsKzIau,25908.0,[],Luis Landriscina,41,https://i.scdn.co/image/ab6761610000e5ebeb1644a37bfc9421db91975d,https://i.scdn.co/image/ab67616100005174eb1644a37bfc9421db91975d,https://i.scdn.co/image/ab6761610000f178eb1644a37bfc9421db91975d
5KDiGaXlk6lxzpXoynx6e4,739.0,"['barnalog', 'classic icelandic pop', 'icelandic pop']",Svanhildur Jakobsdóttir,22,https://i.scdn.co/image/ab67616d0000b2730b502c71135d19a7083b881e,,
7dtmhKnycd3REPNNixXGHO,193557.0,['afrikaans'],Juanita du Plessis,45,https://i.scdn.co/image/ab6761610000e5ebc8feac8c9227b1017fd105f3,https://i.scdn.co/image/ab67616100005174c8feac8c9227b1017fd105f3,https://i.scdn.co/image/ab6761610000f178c8feac8c9227b1017fd105f3
4ERv9hBlW3FZK0GBiNv3xG,2.0,[],Louis Musy,2,https://i.scdn.co/image/ab67616d0000b2739fbf9ddcdc94797e7c8a5297,,
5gznATMVO85ZcLTkE9ULU7,3160492.0,"['permanent wave', 'pop rock', 'rock']",Lenny Kravitz,73,https://i.scdn.co/image/ab6761610000e5ebe0cf058473839f1c9f49937e,https://i.scdn.co/image/ab67616100005174e0cf058473839f1c9f49937e,https://i.scdn.co/image/ab6761610000f178e0cf058473839f1c9f49937e
6LQeBFIfD4C22RJVVjQ6S7,219108.0,"['hi-nrg', 'new romantic', 'new wave pop', 'scottish new wave', 'synthpop']",Jimmy Somerville,45,https://i.scdn.co/image/ab6761610000e5eb998751a120150901ed817f68,https://i.scdn.co/image/ab67616100005174998751a120150901ed817f68,https://i.scdn.co/image/ab6761610000f178998751a120150901ed817f68
1fBcQOi8yEfWN7fknMoqIE,160362.0,"['french reggae', 'german reggae']",Patrice,55,https://i.scdn.co/image/ab6761610000e5eb2cce5296ab64c430a0ab00b6,https://i.scdn.co/image/ab676161000051742cce5296ab64c430a0ab00b6,https://i.scdn.co/image/ab6761610000f1782cce5296ab64c430a0ab00b6
74f8yYPROjWNuz2WJOpQTr,112586.0,"['cumbia pop', 'cumbia villera']",El Guachoon,38,https://i.scdn.co/image/ab67616d0000b2737f181549bc93bc2a684f60da,,
0Y5tJX1MQlPlqiwlOH1tJY,28554337.0,"['rap', 'slap house']",Travis Scott,94,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71,https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71
0A5AyLcMXZRmLE7i2maS0R,215276.0,['turkish alt pop'],Nova Norda,58,https://i.scdn.co/image/ab6761610000e5eb72634cf7a561cd8cee764049,https://i.scdn.co/image/ab6761610000517472634cf7a561cd8cee764049,https://i.scdn.co/image/ab6761610000f17872634cf7a561cd8cee764049
4b8aKLfUDjT0cVFRenx0Sv,8221.0,"['hungarian rock', 'magyar alternative']",Rómeó Vérzik,29,https://i.scdn.co/image/ab6761610000e5eb47080242d647268dcf2fcb4c,https://i.scdn.co/image/ab6761610000517447080242d647268dcf2fcb4c,https://i.scdn.co/image/ab6761610000f17847080242d647268dcf2fcb4c
4xlPlv17Nyteao9aycDxMs,713.0,[],Deutsche Grammophon Literatur,32,https://i.scdn.co/image/ab6761610000e5eb4cd9f9a56d89d5997ebb35d4,https://i.scdn.co/image/ab676161000051744cd9f9a56d89d5997ebb35d4,https://i.scdn.co/image/ab6761610000f1784cd9f9a56d89d5997ebb35d4
2SzDI11JbzzEnNFYB6MrkS,61308.0,"['filmi', 'modern bollywood', 'sufi']",Kshitij,33,https://i.scdn.co/image/ab6761610000e5eba57a4080c50efadf26f4d1bb,https://i.scdn.co/image/ab67616100005174a57a4080c50efadf26f4d1bb,https://i.scdn.co/image/ab6761610000f178a57a4080c50efadf26f4d1bb
3RhKSqhIE9U22yFEobw68e,212027.0,"['african reggae', 'afropop', 'french reggae', 'griot', 'reggae', 'roots reggae', 'world']",Tiken Jah Fakoly,53,https://i.scdn.co/image/ab6761610000e5eb8b94846da74504e0da9db6ad,https://i.scdn.co/image/ab676161000051748b94846da74504e0da9db6ad,https://i.scdn.co/image/ab6761610000f1788b94846da74504e0da9db6ad
3QgSmABpItIdj908ek80n5,335543.0,"['alternative rock', 'blues rock', 'boston rock']",Morphine,54,,,
2WNPMiDLv8LGFxT31rrAAK,2222.0,['lithuanian electronic'],Wolfstream,25,https://i.scdn.co/image/ab6761610000e5ebdee73f1c49823fa4323ca9e3,https://i.scdn.co/image/ab67616100005174dee73f1c49823fa4323ca9e3,https://i.scdn.co/image/ab6761610000f178dee73f1c49823fa4323ca9e3
5gSzpQeKekCGJTR9hcWwKF,89245.0,['rock independant francais'],Concorde,50,https://i.scdn.co/image/ab6761610000e5ebe94539aaa5a762c4f816790f,https://i.scdn.co/image/ab67616100005174e94539aaa5a762c4f816790f,https://i.scdn.co/image/ab6761610000f178e94539aaa5a762c4f816790f
5rGrDvrLOV2VV8SCFVGWlj,225261.0,"['edm', 'electro house', 'pop dance', 'slap house', 'tropical house']",Imanbek,82,https://i.scdn.co/image/ab6761610000e5ebbc1a28e768943c624c4b189f,https://i.scdn.co/image/ab67616100005174bc1a28e768943c624c4b189f,https://i.scdn.co/image/ab6761610000f178bc1a28e768943c624c4b189f
6L77qXFnXb7Tac7xzPa0Y7,60637.0,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'gothic metal', 'melodic death metal']",Before The Dawn,39,https://i.scdn.co/image/ab6761610000e5ebf1ad928e5b268627f530c4bc,https://i.scdn.co/image/ab67616100005174f1ad928e5b268627f530c4bc,https://i.scdn.co/image/ab6761610000f178f1ad928e5b268627f530c4bc
4HPsoaUSVyHNukmQtAtFgO,834.0,[],The Travellers,30,https://i.scdn.co/image/ab67616d0000b273b450033dd45db203d8c6f026,,
0i0rwrrIFDx2i2bI23GwVG,110491.0,"['romanian rap', 'romanian rock']",Subcarpaţi,45,https://i.scdn.co/image/ab6761610000e5eb35f6a99239da5ac01fcab573,https://i.scdn.co/image/ab6761610000517435f6a99239da5ac01fcab573,https://i.scdn.co/image/ab6761610000f17835f6a99239da5ac01fcab573
4Mqv4vPwfSL3EdB99OVFVX,1594.0,[],Shanti,18,https://i.scdn.co/image/ab67616d0000b2737c9e13af4fcffb14d740d2a9,,
3OpXEYnkpqSBaJjFWGeJxy,43191.0,[],Amine,41,https://i.scdn.co/image/ab6761610000e5eb85551221104f47e196ef365a,https://i.scdn.co/image/ab6761610000517485551221104f47e196ef365a,https://i.scdn.co/image/ab6761610000f17885551221104f47e196ef365a
0NGAZxHanS9e0iNHpR8f2W,11343451.0,"['electro house', 'pop nacional', 'slap house']",Alok,84,https://i.scdn.co/image/ab6761610000e5ebf7d1bdca65e1cefd4e60c379,https://i.scdn.co/image/ab67616100005174f7d1bdca65e1cefd4e60c379,https://i.scdn.co/image/ab6761610000f178f7d1bdca65e1cefd4e60c379
0jvcrPMrDn2fFu8X9Myglk,122.0,['detske pisnicky'],Ivana Andrlová,25,,,
2spmKkD1aaIwksnFrAghRL,528751.0,"['classic tollywood', 'filmi']",Ghantasala,44,https://i.scdn.co/image/ab67616d0000b273840f6a325b0994d7a5366da6,,
1t7EOTt2tHw9qgJOmhByDw,108688.0,"['norteno', 'ranchera', 'tejano']",Los Relampagos Del Norte,52,https://i.scdn.co/image/ab67616d0000b2733c382a6b6d83077ded0411df,,
26UvqzQrrTyUuN1WbiBfnP,0.0,[],Mrs. Ghosh,0,,,
2pqd3HsfsvcBGtHvPOg6eg,602368.0,"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']",Highly Suspect,65,https://i.scdn.co/image/ab6761610000e5eb17159c1fcba82d2b68010a8b,https://i.scdn.co/image/ab6761610000517417159c1fcba82d2b68010a8b,https://i.scdn.co/image/ab6761610000f17817159c1fcba82d2b68010a8b
43NJEdCasDjCttH1AgahwO,12168.0,"['dutch rock', 'nederpop']",Gruppo Sportivo,31,https://i.scdn.co/image/ab6761610000e5eb6b7e971cc52b416b4956952c,https://i.scdn.co/image/ab676161000051746b7e971cc52b416b4956952c,https://i.scdn.co/image/ab6761610000f1786b7e971cc52b416b4956952c
